,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid,cluster_label
1483,0.097458933,0.226441281,0.166666667,0.253798418,0.202135005,0.352651087,0.236277844,0.069735607,0.041306601,0.428971483,0.221755067,0.44,0.015,0.007429799,0,0,0.155954971,2
2185,0.094448675,0.113322646,0.166666667,0.034115217,0.792750288,0.368064477,0.261981672,0.058725618,0.039714909,0.446120361,0.226390686,0.537142857,0.088,0.004611213,0,0,0.181260781,2
2520,0.100211435,0.102325419,0.166666667,0.112857927,0.7812791,0.686627618,0.276838621,0.061871912,0.042777067,0.29388768,0.227145321,0.485714286,0,0.007312614,0,0,0.198672,0
3721,0.071744485,0.222454033,0.166666667,0.094332684,0.645394538,0.379597715,0.190817023,0.049865156,0.028284611,0.455838521,0.26185856,0.548571429,0.197,0.003392444,0,0,0.101492041,2
3727,0.092918596,0.236590255,0.166666667,0.331661579,0.464935229,0.780616386,0.225327257,0.067045446,0.038912527,0.350200324,0.228438982,0.502857143,0.086,0.005071907,0,0,0.156677444,0
4524,0.088996269,0.22349064,0.166666667,0.198281325,0.20273644,0.085265307,0.221795087,0.063062292,0.036876337,0.313809214,0.153514446,0.582857143,0.034,0,0,0,0.138666944,2
234,0.104767383,0.067348679,0.166666667,0.132113679,0.18337635,0.577316893,0.296542978,0.062131745,0.045242225,0.678538256,0.284497628,0.325714286,0.177,0.010731261,0.832869081,0.825954198,0.216309072,1
4735,0.057543971,0.154319519,0.166666667,0.322343694,0.862384332,0.295643293,0.178792667,0.035230686,0.021680257,0.176243883,0.126886589,0.594285714,0.957,0.003784278,0,0,0.102094017,2
5839,0.097965173,0.112800544,0.166666667,0.04846494,0.070664658,0.952155781,0.269270307,0.061142955,0.041575974,0.207020365,0.244178525,0.531428571,0.196,0,0,0,0.187520505,0
2939,0.099839119,0.260678055,0.166666667,0.094018759,0.760381697,0.324508013,0.230776992,0.074292281,0.042577328,0.289201891,0.0910953,0.628571429,0.055,0,0,0,0.146920848,2
3053,0.115580409,0.234820544,0.166666667,0.029825124,0.40630079,0.52061248,0.26629822,0.084303178,0.051245754,0.450944783,0.27414834,0.491428571,0.056,0,0,0,0.183022692,0
867,0.095605945,0.165118365,0.166666667,0.085120052,0.321656902,0.79698488,0.249956026,0.063558414,0.040324775,0.510404392,0.296679603,0.401142857,0.056,0.025056673,0.660167131,0.552671756,0.168444902,1
276,0.104945357,0.100678105,0.166666667,0.016328701,0.642416463,0.38111665,0.287044915,0.065015774,0.045339308,0.598755077,0.281586891,0.379428571,0.196,0.018092626,0.748375116,0.665648855,0.207205654,1
5798,0.091553555,0.189271881,0.166666667,0.182600266,0.039001436,0.928330073,0.235641095,0.06242841,0.038200504,0.213536107,0.175183269,0.582857143,0.313,0,0,0,0.150560162,0
3512,0.091896863,0.011152632,0.166666667,0.038153551,0.898758878,0.992080424,0.284395218,0.049217662,0.038379238,0.263596412,0.209788702,0.554285714,0.084,0.006021938,0,0,0.202624429,0
5789,0.08888872,0.139603317,0.166666667,0.033203512,0.043103572,0.922931836,0.243751126,0.056780637,0.036820928,0.341300098,0.177662786,0.611428571,0,0,0,0,0.158502234,0
3198,0.037955131,0.317302839,0.166666667,0.484196388,0.944525248,0.148357023,0.114267987,0.028460638,0.013321289,0.17860064,0.187580854,0.665142857,0.42,0.001840951,0.831012071,0.638167939,0.027222952,1
