,0,1,column_name
0,0.416888809,0.43775473,sm_axis
1,-0.718299316,0.176037356,eccentricity
2,-0.03468527,-0.383059307,mag_slope
3,-0.277338309,0.354616579,incline
4,-0.39921711,0.637346402,longitude
5,-0.233275101,-0.663005292,argument_of_perihelion
6,0.554646684,0.379199689,perihelion_distance
7,0.296938372,0.469273314,aphelion_distance
9,0.504316895,-0.351623948,data_arc
11,-1.124624857,0.107050959,absolute_magnitude_parameter
12,-0.716035425,-0.493604801,albedo
13,-0.388800162,-0.136177506,rotation_period
14,0.303034034,-0.442984565,bv_mag_difference
15,0.290095096,-0.481525097,ub_mag_difference
