,full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
0,     1 Ceres,0.34948664036654337,0.18962083401693408,0.31578947368421045,0.2960972949438922,0.2233419001294857,0.20366323258577698,0.4302784105590759,0.2856146187094737,0.2810990840735052,0.0,0,0.0,0.014861995753715468,0.07520325203252032,0.0054273978925467765,0.6809933142311366,0.6503816793893129,C,G,Y,E,0.43488604181039375
1,     2 Pallas,0.3503665239875492,0.5882928932311088,0.29824561403508765,1.0,0.48155679216771846,0.8618484524237489,0.30203556646328544,0.38857581147852616,0.28191269979729805,0.9942688922990197,0,0.8996755977411991,0.09872611464968152,0.08638211382113821,0.004347116808543817,0.6064947468958931,0.4335877862595419,B,B,N,E,0.3261102999381115
2,     3 Juno,0.3228255274431968,0.6570223743912531,0.6666666666666666,0.3656349248899268,0.4725743951698781,0.689515195241426,0.25659319945459214,0.37518720593022137,0.25667717678974544,1.0,0,0.7331491048900637,0.2261146496815287,0.20121951219512196,0.003830351500986472,0.7870105062082141,0.6610687022900763,Sk,S,N,E,0.2663278694739237
3,     4 Vesta,0.24079368060775047,0.2224606160076471,0.6666666666666666,0.19585540586474015,0.2887629959000794,0.418364581072445,0.30748278577720267,0.18807088546015058,0.18441709173871274,0.2421784472769409,0,1.0,0.0,0.41341463414634144,0.0022301332910097523,0.7468958930276982,0.751145038167939,V,V,N,E,0.29790093566874937
4,     5 Astraea,0.29752792788410487,0.4869189984588403,0.10526315789473682,0.1443222882977399,0.3938747307622043,0.9972392290246611,0.28647657873098875,0.30626485769005485,0.23392331715274206,0.8551094547618302,0,0.22335696263366575,0.3874734607218684,0.26219512195121947,0.012051306227976327,0.7889207258834766,0.6274809160305344,S,S,N,E,0.28478610857295705
5,     6 Hebe,0.2577853751076103,0.5176925663582255,0.5263157894736842,0.41641887999094807,0.38570198592321986,0.6663246534669849,0.24134940055006215,0.27077925943582387,0.1990193930706506,0.8378534966020482,0,0.6045896912171093,0.26645435244161364,0.25599593495934964,0.0038856090645432505,0.7851002865329514,0.6091603053435114,S,S,N,E,0.24810280291444617
6,     7 Iris,0.2471689335503303,0.5905376895408194,0.10526315789473682,0.1488712141253077,0.7222612356852265,0.4031565675200658,0.21146226713539293,0.2753977615195548,0.18987304294884907,0.8397795245999186,0,0.5051063318514959,0.24522292993630573,0.26483739837398373,0.0037695253457534286,0.8166189111747851,0.7389312977099236,S,S,N,E,0.20963234256566213
7,     8 Flora,0.198234880843279,0.3975496985168944,0.5964912280701754,0.15942019195478788,0.3084643155996768,0.7929226576967098,0.21851378073188657,0.18220287272377153,0.14870819992290182,0.8429582537346153,0,0.20929953141895952,0.3492569002123143,0.2134146341463415,0.00867502625933658,0.845272206303725,0.7465648854961832,0,S,N,E,0.21807950672123613
8,     9 Metis,0.24724962998528557,0.3113069152031023,0.40350877192982454,0.15041490327277282,0.19162130358776905,0.016660147921346773,0.2893765780961421,0.213945082542838,0.189942279091837,0.8298988443832013,0,0.197885377868557,0.32696390658174107,0.10365853658536586,0.002004710137583452,0.8194842406876791,0.7572519083969466,0,S,N,E,0.2881016716515446
9,    10 Hygiea,0.44875017657060084,0.28378563613592717,0.10526315789473682,0.09973915171898216,0.788054350287213,0.8681570586596637,0.49957601663149664,0.40856849550947494,0.37587821888097994,0.8354420469136575,0,0.289198606271777,0.2367303609341826,0.056605691056910566,0.021324296428574304,0.664756446991404,0.5358778625954199,C,C,N,E,0.4901283772785847
